ISO3,total_hours_worked,labor_productivity_person_growth,labor_productivity_hour_growth,total_factor_productivity_growth
BFA,13174.18,6.56,6.4,1.71
BFA,13109.58,6.88,6.73,1.93
BFA,13022.73,7.48,7.32,2.34
BFA,12915.08,6.54,6.37,1.13
BFA,12565.51,4.23,4.76,-1.06
BFA,12610.13,7.41,6.56,2.55
BFA,12344.35,3.4,3.97,0.02
BFA,12756.44,-0.19,-0.27,-1.29
BFA,13132.92,2.45,2.47,-1.75
BFA,13519.55,2.75,2.77,-1.36
KHM,8443.48,-3.16,-3.1,-1.71
KHM,8745.73,3.98,3.87,3.38
KHM,9100.16,2.63,2.9,2.84
KHM,9582.57,-0.51,-1.2,-3.31
KHM,9632.62,6.15,7.62,3.5
KHM,10519.61,-1.76,-2.96,-4.87
KHM,10747.75,3.87,3.65,-1.06
KHM,11248.01,-0.15,-0.62,-4.34
KHM,11830.78,1.2,-0.47,-2.22
KHM,12399.26,8.79,7.54,3.03
KHM,12846.92,8.34,6.85,-7.86
KHM,13809.01,0.96,-0.09,-8.87
KHM,14335.53,4.4,2.36,-8.61
KHM,14531.91,8.76,8.79,-2.66
KHM,14692.4,8.62,8.26,-2.87
KHM,15198.78,9.5,9.53,-0.69
KHM,15791.76,7.17,6.78,-3.78
KHM,16358.96,6.93,6.57,-4.03
KHM,17043.73,3.6,3.16,-6.64
KHM,17921.72,-0.96,-1.02,-7.88
KHM,18627.2,1.3,1.1,-4.44
KHM,19343.76,3.64,3.31,-2.29
KHM,19132.74,9.49,8.84,-1.98
KHM,19921.14,3.97,3.59,-3.26
KHM,21065.81,3.85,2.13,-3.89
KHM,21524.26,5.1,4.92,-1.82
KHM,22402.3,3.71,3.68,-2.1
KHM,22943.78,5.09,5.52,-0.02
KHM,23399.92,6.11,6.66,-0.95
KHM,23895.13,5.18,5.7,-2.17
KHM,22498.94,-0.94,2.43,-6.39
KHM,23061.34,4.85,0.58,-3.85
KHM,23697.13,2.4,2.28,-1.86
KHM,24174.59,3.18,2.92,0.27
KHM,24567.38,3.8,3.81,-1.28
KHM,24946.15,4.18,4.19,-0.62
CMR,NA,-2.94,NA,-3.17
CMR,NA,-7.37,NA,-5.27
CMR,NA,-6.04,NA,-3.37
CMR,NA,-6.15,NA,-5.01
CMR,NA,-5.62,NA,-5.05
CMR,NA,0.01,NA,0.72
CMR,NA,1.69,NA,1.92
CMR,NA,1.86,NA,1.29
CMR,NA,1.42,NA,1.28
CMR,NA,0.56,NA,0.74
CMR,NA,-0.89,NA,-0.39
CMR,NA,-0.24,NA,-0.53
CMR,NA,1.12,NA,0.96
CMR,NA,1.2,NA,1.83
CMR,NA,2.51,NA,2.94
CMR,14594.65,-2.46,NA,-1.81
CMR,15077.94,0.5,0.21,0.46
CMR,15749.33,0.1,-0.34,-0.03
CMR,15960.02,1.43,1.5,-1.33
CMR,16041.89,1.9,2.1,-0.85
CMR,16173.55,2.14,2.1,-0.53
CMR,16805.66,-0.6,-0.41,-0.73
CMR,17528.1,0.22,0.2,0.25
CMR,18268.34,0.6,0.73,0.14
CMR,19111.55,1.1,1.11,-0.04
CMR,18906.22,6.78,6.75,1.13
CMR,18843.68,5.3,4.83,-0.31
CMR,18777.54,4.05,3.91,-0.79
CMR,18723.11,4.56,4.32,-0.51
CMR,19109.85,1.73,1.33,-1.44
CMR,18833.25,0.02,2.02,-3.01
CMR,19570.46,0.97,-0.84,-1.59
CMR,20565.25,-0.32,-1.28,-1.45
CMR,21243.09,0.11,-0.05,-1.61
CMR,21800.47,1.23,1.24,-1.34
CMR,22381.91,1.49,1.5,-1.11
CAN,24147.56,-0.49,-0.07,-1.79
CAN,23437.75,-0.35,0.87,-1.85
CAN,23174.67,1.89,2.04,0.04
CAN,23319.49,2.16,2.02,0.6
CAN,23892.6,2.37,1.99,1.46
CAN,24240.3,0.85,1.21,0.33
CAN,24687.08,0.74,-0.15,-1.18
CAN,25286.72,2.09,1.81,0.54
CAN,25785.72,1.39,1.88,0.17
CAN,26438.82,2.55,2.54,0.93
CAN,26945.88,2.59,3.16,1.28
CAN,26994.42,0.7,1.69,-0.3
CAN,27367.91,0.58,1.59,0.51
CAN,27801.74,-0.6,0.22,-1.31
CAN,28423.29,1.45,0.84,-0.7
CAN,28698.82,1.88,2.22,-0.26
CAN,29088.55,0.93,1.26,-0.98
CAN,29676.57,-0.22,0.03,-1.81
CAN,30041.19,-0.43,-0.23,-2.02
CAN,29066.58,-1.27,0.34,-2.39
CAN,29788.36,1.65,0.59,-0.21
CAN,30200.48,1.6,1.73,0.34
CAN,30758.61,0.49,-0.09,-1.28
CAN,31046.23,0.86,1.38,0.05
CAN,31054.82,2.23,2.84,1.24
CAN,31350.84,-0.16,-0.3,-1.37
CAN,31503.24,0.29,0.55,-0.36
CAN,32007.09,1.15,1.41,0.99
CAN,32795.29,1.42,0.27,-0.1
CAN,33315.7,-0.22,0.32,-0.42
CAN,29370.98,0.2,7.72,1.93
CAN,32426.51,0.92,-4.03,-2.07
CAN,34023.09,0.1,-0.7,0.04
CAN,35185.49,-1.43,-1.83,-1.5
CAN,35983.88,-0.34,-0.72,-0.72
CAN,36174.41,0.67,0.67,0.11
TCD,NA,-7.73,NA,-6.88
TCD,NA,7.0,NA,8.69
TCD,NA,-2.1,NA,0.72
TCD,NA,-3.47,NA,-2.78
TCD,NA,4.97,NA,4.68
TCD,NA,-4.85,NA,-2.13
TCD,NA,-1.9,NA,0.54
TCD,NA,3.52,NA,4.45
TCD,NA,4.55,NA,5.47
TCD,NA,-3.22,NA,-2.3
TCD,NA,-3.23,NA,-2.88
TCD,NA,9.21,NA,2.19
TCD,NA,5.77,NA,-6.62
TCD,NA,10.67,NA,3.98
TCD,NA,27.88,NA,21.66
TCD,5536.31,4.55,NA,1.04
TCD,5683.98,-1.01,-0.97,-7.53
TCD,5820.73,1.41,1.45,-2.51
TCD,5976.03,1.31,1.34,-2.32
TCD,6143.49,0.04,0.1,-2.83
TCD,6301.57,7.67,7.69,3.79
TCD,6474.58,-1.44,-1.43,-8.07
TCD,6660.17,3.99,3.96,0.8
TCD,6854.49,2.66,2.64,0.13
TCD,7061.89,3.03,3.01,1.58
TCD,7224.47,-0.88,-0.9,-3.27
TCD,7387.99,-8.4,-8.4,-8.21
TCD,7583.87,-4.53,-4.56,-3.08
TCD,7802.54,3.0,2.91,3.63
TCD,8085.64,2.97,2.85,2.27
TCD,7776.54,-3.89,1.84,-2.25
TCD,8536.51,-5.0,-9.74,-5.39
TCD,9219.42,-2.84,-4.07,0.72
TCD,9757.44,-0.86,-0.89,1.19
TCD,10349.98,-2.71,-2.71,-0.82
TCD,10709.41,0.28,0.29,0.19
CHL,10861.64,1.58,1.32,-0.97
CHL,11036.16,5.97,6.1,3.24
CHL,11554.37,6.01,6.18,4.26
CHL,12100.09,0.69,1.78,-0.78
CHL,12070.36,4.19,5.29,0.57
CHL,12079.89,7.65,8.85,2.07
CHL,12126.0,3.47,4.59,-1.31
CHL,12089.84,5.06,7.71,2.91
CHL,12585.66,1.98,0.08,-3.21
CHL,12319.54,0.91,1.88,-2.36
CHL,12458.05,3.17,3.8,1.35
CHL,12483.84,1.99,2.94,-0.37
CHL,12758.56,1.34,0.98,-0.72
CHL,13169.73,0.78,1.45,-0.8
CHL,13487.35,4.02,4.16,1.21
CHL,13539.3,1.89,5.43,-0.22
CHL,13824.94,4.24,3.86,-0.35
CHL,13964.72,2.34,4.12,-0.72
CHL,14145.95,0.87,2.46,-2.69
CHL,13912.38,-0.47,0.54,-4.67
CHL,15239.06,-3.56,-3.36,-4.47
CHL,15849.43,1.17,2.13,-1.29
CHL,15963.52,4.22,5.4,0.21
CHL,16250.51,1.18,1.48,-1.67
CHL,16260.6,0.38,1.73,-1.45
CHL,16533.86,0.43,0.46,-1.65
CHL,16591.09,0.58,1.4,-0.72
CHL,16867.34,-1.03,-0.3,-1.57
CHL,17176.34,1.72,2.12,0.53
CHL,17319.02,-1.52,-0.2,-2.36
CHL,14403.78,6.76,12.85,-0.04
CHL,15873.64,6.02,1.02,3.55
CHL,17371.98,-4.45,-6.74,-4.65
CHL,17668.81,-2.11,-1.46,-3.41
CHL,17961.57,-0.72,0.79,-0.24
CHL,18461.08,-0.75,-0.74,-1.15
CHN,1431406.44,0.96,0.86,-0.82
CHN,1460981.7,6.93,7.09,4.12
CHN,1474980.88,13.08,13.22,7.54
CHN,1487402.36,12.77,12.95,5.75
CHN,1499911.12,12.0,12.16,5.09
CHN,1512922.6,9.97,10.05,3.69
CHN,1542907.93,8.8,7.86,1.91
CHN,1576443.39,7.92,6.97,1.47
CHN,1613625.09,6.6,5.41,0.2
CHN,1646020.28,6.51,5.58,0.56
CHN,1674430.88,7.5,6.76,1.29
CHN,1703253.14,7.25,6.47,0.72
CHN,1729830.3,8.31,7.52,0.93
CHN,1751282.11,9.4,8.75,1.03
CHN,1758334.24,9.37,9.66,1.37
CHN,1850665.79,10.82,5.94,0.28
CHN,1840088.35,12.16,13.35,4.17
CHN,1778037.23,13.69,18.19,7.0
CHN,1749662.52,9.27,11.48,1.44
CHN,1759477.75,9.03,8.79,-0.28
CHN,1856621.14,10.21,4.81,-1.12
CHN,1827201.32,9.37,11.26,1.82
CHN,1832550.16,7.82,7.59,-0.28
CHN,1847541.33,7.73,6.93,0.31
CHN,1846722.07,7.43,7.55,1.18
CHN,1832221.89,7.04,7.85,1.77
CHN,1824418.91,6.91,7.26,0.91
CHN,1809193.78,7.16,7.8,0.39
CHN,1792627.03,7.19,7.79,0.95
CHN,1775198.07,6.57,7.14,0.82
CHN,1689296.38,2.82,7.5,-0.49
CHN,1707623.81,9.2,7.43,3.55
CHN,1712775.1,4.93,2.79,-1.22
CHN,1720382.9,4.42,4.93,1.09
CHN,1706054.93,5.86,5.88,1.54
CHN,1710331.03,4.53,4.55,1.13
COL,26126.01,1.34,1.85,0.62
COL,27839.57,-4.42,-3.93,-3.01
COL,28169.29,2.61,3.13,1.77
COL,30072.18,-0.32,-0.98,-2.61
COL,31438.11,1.25,0.58,-2.84
COL,32853.58,0.43,0.67,-0.11
COL,33041.56,1.23,1.48,-0.58
COL,33667.54,1.26,1.51,-1.96
COL,33624.08,0.46,0.7,-1.04
COL,33129.23,-2.77,-2.77,-3.19
COL,35303.73,-3.41,-3.41,-2.25
COL,35756.19,0.39,0.39,1.33
COL,37415.71,1.78,-2.04,-1.56
COL,38839.43,-0.68,0.11,-0.91
COL,38728.84,5.01,5.63,2.79
COL,39945.61,1.75,1.27,-0.24
COL,40156.78,7.41,6.16,7.89
COL,41193.91,5.28,4.05,-0.13
COL,42487.44,1.32,0.14,-3.17
COL,44021.12,-4.01,-2.38,-2.6
COL,45580.56,0.64,0.92,-1.12
COL,46775.86,3.41,4.22,1.08
COL,47829.72,0.98,1.62,-0.83
COL,48285.56,3.87,4.14,0.17
COL,49256.09,2.09,2.44,-0.49
COL,49976.84,1.08,1.47,-0.01
COL,50070.73,1.74,1.9,-0.17
COL,50208.72,0.41,1.08,-0.99
COL,50752.91,1.87,1.46,-0.53
COL,50772.85,3.0,3.15,0.7
COL,39421.08,3.83,19.54,3.28
COL,49050.02,3.51,-10.95,0.8
COL,55158.97,-0.7,-4.59,-2.6
COL,56301.42,-2.73,-1.43,-2.03
COL,56004.26,0.55,2.18,0.38
COL,56000.54,2.43,2.44,1.22
COG,NA,-0.83,NA,-0.85
COG,NA,0.69,NA,0.28
COG,NA,1.03,NA,0.93
COG,NA,-1.83,NA,-3.28
COG,NA,-4.21,NA,-9.78
COG,NA,0.88,NA,0.17
COG,NA,0.31,NA,0.59
COG,NA,-3.18,NA,-1.3
COG,NA,6.64,NA,3.68
COG,NA,-6.26,NA,-4.31
COG,NA,6.38,NA,9.52
COG,NA,-8.97,NA,-7.4
COG,NA,-1.68,NA,-1.18
COG,NA,-2.23,NA,-2.34
COG,NA,-3.88,NA,-2.85
COG,2959.99,4.84,NA,5.67
COG,3101.4,3.39,3.06,3.61
COG,3215.65,-9.83,-9.93,-15.08
COG,3335.12,2.92,2.5,0.6
COG,3493.6,6.94,6.57,4.7
COG,3675.26,4.71,4.5,3.15
COG,3784.27,-0.66,-0.74,-2.0
COG,3880.99,7.39,7.21,3.82
COG,3943.13,-2.27,-2.28,-6.61
COG,4032.28,4.41,4.36,-0.18
COG,4100.75,-5.22,-5.16,-10.49
COG,4172.42,-6.81,-6.63,-10.56
COG,4250.9,-7.37,-7.34,-7.66
COG,4351.05,-4.59,-4.55,-4.39
COG,4478.83,-1.8,-1.76,-0.62
COG,4205.22,-4.84,-0.17,-2.99
COG,4529.96,-2.58,-6.19,-2.05
COG,4879.65,-4.39,-5.5,-1.91
COG,5045.79,-1.4,-1.38,-0.07
COG,5216.59,-0.54,-0.53,0.84
COG,5398.71,0.17,0.18,1.5
CRI,2439.34,1.38,-0.78,-2.38
CRI,2348.23,2.4,6.23,0.14
CRI,2537.28,4.89,1.06,-1.41
CRI,2668.67,1.3,1.82,-2.53
CRI,2819.28,-0.07,-1.06,-3.18
CRI,2878.02,0.94,2.03,-2.77
CRI,2905.31,2.19,0.4,-2.56
CRI,3108.69,-2.3,-1.42,-3.84
CRI,3294.66,0.73,1.11,-4.1
CRI,3355.94,2.91,2.31,-2.11
CRI,3424.04,1.44,1.8,0.05
CRI,3564.55,-1.95,-0.59,-2.98
CRI,3661.47,1.87,0.68,-1.94
CRI,3766.46,1.13,1.41,-0.7
CRI,3837.04,3.34,2.5,0.69
CRI,4060.27,-2.47,-1.74,-3.07
CRI,4192.38,4.29,3.94,1.68
CRI,4475.88,2.52,1.36,0.41
CRI,4544.78,3.38,3.15,-0.96
CRI,4380.9,0.96,2.84,-3.15
CRI,4132.91,6.7,11.68,7.5
CRI,4117.23,6.69,4.8,1.06
CRI,4379.31,-3.43,-1.39,-2.55
CRI,4265.41,1.19,5.23,1.45
CRI,4306.99,1.54,2.54,-0.01
CRI,4325.21,4.25,3.22,1.49
CRI,4317.74,7.07,4.38,1.6
CRI,4393.71,1.1,2.36,1.04
CRI,4426.76,-0.82,1.85,0.49
CRI,4411.92,-0.07,2.76,-0.89
CRI,3665.12,7.45,15.23,3.11
CRI,4175.95,2.15,-5.27,-0.52
CRI,4577.6,-1.16,-4.62,-1.96
CRI,4494.55,8.09,7.05,3.32
CRI,4501.91,3.96,3.83,1.54
CRI,4501.38,3.46,3.48,1.29
CIV,NA,-10.57,NA,-8.93
CIV,NA,-6.42,NA,-3.47
CIV,NA,-4.36,NA,-2.34
CIV,NA,-5.23,NA,-2.95
CIV,NA,-4.85,NA,-2.9
CIV,NA,0.21,NA,1.5
CIV,NA,3.65,NA,3.98
CIV,NA,1.38,NA,1.77
CIV,NA,0.95,NA,1.25
CIV,NA,-1.66,NA,-1.52
CIV,NA,-4.49,NA,-3.67
CIV,NA,-2.27,NA,-1.16
CIV,NA,-3.97,NA,-3.4
CIV,NA,-3.55,NA,-2.67
CIV,NA,-1.23,NA,-0.54
CIV,14005.59,-0.71,NA,0.05
CIV,14374.37,-1.02,-1.09,-0.46
CIV,14715.96,-0.52,-0.6,-0.79
CIV,15235.3,-0.85,-0.95,-0.76
CIV,15882.63,-0.82,-0.96,-0.31
CIV,16532.91,-1.89,-1.99,-1.98
CIV,17066.13,-7.77,-7.83,-7.22
CIV,17667.79,7.29,7.09,6.31
CIV,18767.71,3.02,2.87,1.71
CIV,19394.67,5.06,5.28,2.02
CIV,19961.18,5.51,5.75,1.87
CIV,20582.04,3.78,3.94,0.46
CIV,20717.63,7.15,6.71,2.59
CIV,21096.46,2.68,2.96,-0.12
CIV,21503.98,4.49,4.7,1.42
CIV,21711.15,-2.34,-0.26,-3.55
CIV,23227.11,1.78,0.07,-0.82
CIV,24380.47,1.93,1.19,-0.94
CIV,25108.7,3.26,3.12,0.1
CIV,25881.46,3.32,3.32,-0.17
CIV,26674.12,3.22,3.24,-0.06
HRV,NA,-4.13,NA,NA
HRV,NA,-13.61,NA,-14.97
HRV,NA,0.32,NA,0.93
HRV,NA,-6.32,NA,-3.37
HRV,NA,8.31,NA,9.45
HRV,2994.85,8.1,NA,8.22
HRV,2991.93,6.21,6.21,5.66
HRV,2992.65,6.14,6.14,4.29
HRV,2983.5,2.56,2.57,0.74
HRV,2985.02,-0.9,-0.9,-2.51
HRV,2976.89,3.14,3.23,1.7
HRV,2956.4,3.89,3.83,1.99
HRV,2978.17,5.04,5.03,3.39
HRV,3050.46,3.12,3.07,1.29
HRV,3076.42,3.39,3.29,1.65
HRV,3104.54,3.38,3.38,1.8
HRV,3203.55,1.95,1.83,0.65
HRV,3305.29,1.92,1.82,1.38
HRV,3375.52,-0.08,-0.15,-1.96
HRV,3348.21,-6.21,-6.05,-8.47
HRV,3243.48,2.59,1.85,-0.75
HRV,3111.1,4.01,4.15,1.86
HRV,2973.66,1.41,2.26,-0.83
HRV,2867.72,2.78,3.56,0.55
HRV,2915.94,-3.12,-2.2,-2.45
HRV,2852.73,1.05,4.59,2.6
HRV,2871.8,3.21,2.77,2.24
HRV,2924.82,0.81,1.41,1.16
HRV,2979.82,0.31,1.01,0.66
HRV,3247.53,4.25,-5.4,-2.56
HRV,3182.68,-7.39,-6.44,-8.69
HRV,3212.86,11.28,11.57,10.73
HRV,3270.8,5.01,5.39,4.85
HRV,3361.88,1.05,0.5,-0.73
HRV,3534.06,-2.15,-1.24,-1.08
HRV,3607.24,0.85,0.85,0.21
CYP,NA,5.23,NA,3.22
CYP,NA,0.35,NA,-1.66
CYP,NA,4.89,NA,2.78
CYP,NA,0.7,NA,-1.22
CYP,NA,3.97,NA,2.71
CYP,562.16,5.68,NA,5.84
CYP,564.83,0.71,0.77,-0.19
CYP,570.61,2.02,1.6,0.43
CYP,581.45,4.47,4.13,4.35
CYP,594.42,3.09,2.71,2.09
CYP,606.35,4.24,3.88,3.23
CYP,627.35,1.75,0.47,0.88
CYP,631.39,1.6,3.06,1.5
CYP,651.66,-0.94,-0.57,-0.29
CYP,664.28,1.02,3.03,2.57
CYP,676.96,1.18,2.89,1.96
CYP,684.14,2.81,3.62,0.43
CYP,725.79,0.64,-0.93,-1.8
CYP,753.64,0.12,-0.18,-2.13
CYP,745.56,-2.05,-0.95,-3.23
CYP,749.33,1.65,1.77,-0.38
CYP,752.32,0.14,0.02,-0.91
CYP,724.84,0.1,0.21,-0.63
CYP,671.34,-1.06,0.86,0.81
CYP,659.75,0.23,-0.05,-3.94
CYP,673.4,1.82,1.32,0.57
CYP,710.68,1.83,0.98,1.41
CYP,741.59,0.34,1.34,0.84
CYP,779.44,0.28,1.11,2.23
CYP,819.55,1.03,0.69,1.75
CYP,777.17,-2.86,2.06,-2.18
CYP,842.88,8.2,2.7,4.02
CYP,886.02,3.19,2.14,2.85
CYP,900.32,1.16,0.98,-1.68
CYP,921.68,1.36,1.03,0.06
CYP,941.97,0.62,-0.28,-1.0
CZE,NA,2.01,NA,0.68
CZE,NA,-6.87,NA,-5.0
CZE,NA,1.69,NA,5.65
CZE,9317.81,1.59,NA,5.54
CZE,9328.05,1.23,2.22,3.65
CZE,9350.72,5.42,5.84,5.04
CZE,9388.22,3.63,3.75,2.26
CZE,9364.58,0.11,-0.34,-2.2
CZE,9318.89,1.37,0.1,-2.09
CZE,9263.63,3.61,1.98,-0.43
CZE,9234.76,4.87,4.34,1.79
CZE,8836.23,3.19,7.56,3.05
CZE,8838.48,0.88,1.49,-0.47
CZE,8704.7,4.13,4.89,2.5
CZE,8757.63,4.94,4.1,2.43
CZE,8873.94,4.35,4.98,3.49
CZE,8925.77,5.21,6.0,3.97
CZE,9038.69,3.33,4.17,2.19
CZE,9311.58,0.42,-0.39,-1.75
CZE,9092.57,-3.05,-2.51,-5.38
CZE,9097.04,3.79,2.66,1.07
CZE,9081.46,2.28,1.95,0.19
CZE,8975.46,-1.29,0.4,-1.37
CZE,8941.59,-0.41,0.34,-1.05
CZE,9043.22,1.7,1.1,0.77
CZE,9054.96,3.52,4.82,3.6
CZE,9271.16,1.53,0.19,0.38
CZE,9407.58,3.79,3.65,3.26
CZE,9558.33,1.66,1.21,0.63
CZE,9542.32,3.72,3.74,2.26
CZE,8744.38,-3.06,3.34,-1.87
CZE,9088.65,3.0,0.09,-0.06
CZE,9489.72,1.81,-1.5,-1.16
CZE,9558.97,-1.07,-0.78,-2.36
CZE,9569.3,0.82,1.01,-0.1
CZE,9628.72,1.79,1.59,0.74
DNK,3794.41,2.09,3.11,1.04
DNK,3749.28,2.45,2.68,0.77
DNK,3757.96,2.85,1.79,0.61
DNK,3687.9,1.58,1.82,-0.38
DNK,3651.44,3.24,6.35,4.21
DNK,3706.83,2.4,1.5,0.33
DNK,3725.51,1.88,2.38,0.67
DNK,3819.31,1.76,0.63,-0.82
DNK,3908.53,0.9,-0.01,-1.73
DNK,3983.18,2.11,1.04,-0.58
DNK,4038.88,2.96,2.29,0.72
DNK,4086.55,-0.04,-0.23,-1.58
DNK,4072.13,0.39,0.81,-1.11
DNK,4021.64,1.37,1.7,-0.63
DNK,4001.18,3.32,3.3,1.35
DNK,4039.38,0.92,1.39,0.12
DNK,4142.84,1.53,1.22,-0.18
DNK,4172.81,-1.32,0.26,-0.4
DNK,4216.79,-1.65,-1.46,-2.86
DNK,4047.04,-1.9,-0.99,-3.92
DNK,3967.99,4.0,3.61,1.7
DNK,4003.93,1.43,0.4,-0.05
DNK,3938.41,0.7,1.66,-0.1
DNK,3946.83,1.35,1.18,0.37
DNK,3938.74,0.63,1.49,0.45
DNK,3977.5,0.63,1.11,0.55
DNK,4057.31,1.41,1.05,0.7
DNK,4095.18,1.53,2.1,1.05
DNK,4089.62,0.31,2.0,0.43
DNK,4122.91,0.28,0.89,-0.09
DNK,3982.71,-0.68,1.68,-1.19
DNK,4221.21,4.97,1.31,2.08
DNK,4377.21,-2.35,-2.08,-2.04
DNK,4419.09,1.15,1.52,0.67
DNK,4449.26,2.82,2.97,1.86
DNK,4458.26,3.35,3.46,2.22
DOM,4541.1,-7.44,NA,-7.78
DOM,4802.81,-4.65,-4.56,-112.38
DOM,5083.51,3.66,5.08,-30.48
DOM,5301.94,7.43,2.94,-15.82
DOM,5314.07,1.55,2.37,-16.71
DOM,5351.86,5.83,4.94,-6.52
DOM,5340.56,4.87,6.2,-2.48
DOM,5653.91,3.65,2.85,-5.56
DOM,6293.66,-1.57,-4.13,-12.71
DOM,6562.1,2.51,1.61,-5.12
DOM,6485.05,1.45,5.91,-1.01
DOM,6340.72,3.89,4.79,-2.72
DOM,6450.07,0.38,2.72,-3.55
DOM,6431.9,-1.42,-1.07,-8.24
DOM,6680.52,-0.24,-1.25,-3.14
DOM,6835.04,7.03,6.95,2.69
DOM,7087.42,3.83,5.29,2.38
DOM,7383.48,3.57,3.11,-0.27
DOM,7764.24,-1.91,-1.85,-4.79
DOM,7831.35,0.07,0.08,-2.6
DOM,8085.52,4.12,4.93,2.62
DOM,8370.12,-0.7,-0.37,-1.5
DOM,8508.83,1.36,1.04,-2.25
DOM,8693.36,3.04,2.65,0.78
DOM,9342.62,2.37,-0.39,0.44
DOM,9559.97,3.3,4.5,0.44
DOM,9802.78,3.32,4.02,0.99
DOM,10006.67,1.8,2.53,0.02
DOM,10281.31,3.29,4.13,0.15
DOM,10366.36,2.26,4.19,0.07
DOM,8489.92,-0.93,13.9,0.37
DOM,10041.72,8.18,-5.08,-0.74
DOM,10355.33,1.93,1.68,-1.57
DOM,10757.19,-0.77,-1.46,-3.51
DOM,11094.35,1.55,1.94,-0.07
DOM,11283.57,3.27,3.28,0.67
COD,NA,-5.09,NA,-5.75
COD,NA,-11.42,NA,-11.47
COD,NA,-13.29,NA,-12.87
COD,NA,-16.43,NA,-15.96
COD,NA,-10.96,NA,-8.73
COD,NA,-1.66,NA,0.85
COD,NA,-3.05,NA,-1.96
COD,NA,-8.42,NA,-8.09
COD,NA,-6.13,NA,-4.74
COD,NA,-6.97,NA,-5.16
COD,NA,-10.97,NA,-9.51
COD,NA,-5.1,NA,-3.19
COD,NA,-0.16,NA,1.28
COD,NA,3.54,NA,4.79
COD,NA,4.52,NA,5.84
COD,39639.07,6.47,NA,7.4
COD,40434.75,3.47,3.04,3.16
COD,41193.14,7.02,6.53,6.1
COD,41950.23,5.97,5.46,5.0
COD,42732.09,-0.82,-1.28,-3.18
COD,43662.71,6.11,5.54,3.11
COD,44677.47,5.72,5.15,0.66
COD,45708.9,6.79,6.22,2.59
COD,47295.69,5.94,5.95,3.65
COD,48937.11,3.71,3.7,1.64
COD,50547.47,2.94,2.97,2.1
COD,52334.35,-3.12,-3.03,-3.68
COD,54266.24,-0.11,-0.03,-1.74
COD,56035.08,1.46,1.52,-0.32
COD,57720.81,1.35,1.43,0.37
COD,54036.89,3.43,8.6,1.87
COD,60343.36,-1.12,-5.18,-8.05
COD,63472.53,4.84,3.41,-3.08
COD,65583.7,5.08,4.87,-8.68
COD,67723.35,1.39,1.4,-5.22
COD,69948.76,1.68,1.7,-3.7
ECU,NA,-1.08,NA,1.64
ECU,NA,1.62,NA,3.33
ECU,NA,0.88,NA,1.61
ECU,NA,-0.49,NA,-0.63
ECU,NA,1.35,NA,1.51
ECU,8283.66,-0.25,NA,-0.13
ECU,8452.34,-0.64,-0.3,-0.24
ECU,8728.9,0.67,1.02,1.47
ECU,9204.3,-2.4,-2.07,-0.38
ECU,8548.57,-4.59,2.57,-4.07
ECU,8589.94,1.25,0.61,0.07
ECU,8984.64,0.27,-0.37,1.3
ECU,9287.08,2.16,1.51,1.3
ECU,9576.43,0.42,-0.22,-0.51
ECU,9904.22,0.34,3.3,3.18
ECU,10344.77,2.37,0.91,0.95
ECU,10559.91,0.19,2.22,0.29
ECU,10407.75,0.84,3.39,-1.21
ECU,10768.91,4.72,2.99,1.46
ECU,10623.89,1.09,2.47,-2.23
ECU,10563.84,3.71,4.62,-0.07
ECU,10647.06,6.39,7.63,2.92
ECU,10831.66,1.85,3.98,0.18
ECU,11122.07,4.19,4.41,0.25
ECU,11189.3,2.85,3.6,-1.16
ECU,11586.26,-5.01,-3.31,-4.2
ECU,11764.57,-5.08,-2.19,-3.54
ECU,12164.81,2.1,2.48,2.01
ECU,12198.49,0.88,0.77,-2.14
ECU,12185.32,-0.78,0.27,-2.53
ECU,10745.72,-1.62,2.91,-8.18
ECU,12458.44,0.25,-5.28,5.46
ECU,13001.88,3.23,1.75,3.88
ECU,13038.35,2.12,2.07,0.38
ECU,13133.6,-0.38,-0.38,-1.55
ECU,13329.89,-0.26,-0.25,-0.88
EGY,NA,-0.05,NA,-1.74
EGY,NA,-2.41,NA,-2.28
EGY,NA,-0.44,NA,-0.78
EGY,NA,1.0,NA,1.05
EGY,NA,0.63,NA,0.59
EGY,NA,0.81,NA,-0.06
EGY,NA,4.58,NA,2.04
EGY,NA,3.11,NA,1.08
EGY,NA,3.53,NA,0.37
EGY,NA,2.2,NA,-0.14
EGY,NA,2.74,NA,0.36
EGY,NA,1.51,NA,-0.47
EGY,NA,2.07,NA,0.44
EGY,NA,1.14,NA,0.3
EGY,NA,1.42,NA,0.69
EGY,45045.89,1.83,NA,0.96
EGY,46505.25,3.89,3.61,1.99
EGY,49936.07,-0.24,-0.24,-0.74
EGY,51427.63,3.29,2.95,-0.77
EGY,53928.14,1.64,-0.22,-1.36
EGY,56521.59,0.88,0.68,-0.74
EGY,54311.33,0.34,3.19,-0.98
EGY,55504.16,1.45,1.19,0.23
EGY,56580.66,0.1,-0.25,0.2
EGY,57750.63,3.48,2.74,2.5
EGY,59393.39,1.95,1.06,0.21
EGY,56930.72,1.63,8.37,3.82
EGY,59645.41,2.28,0.2,-0.22
EGY,61569.83,5.37,2.11,-0.06
EGY,62723.55,5.23,3.69,0.82
EGY,56486.37,1.18,12.68,4.36
EGY,60623.87,3.22,-0.2,1.59
