ISO3,year,government_investment_gdp,private_sector_investment_gdp
ARG,2016,2.504813118,7.99741098
ARG,2017,2.666862618,8.81196219
ARG,2018,2.440962998,8.662941278
ARG,2019,1.864936371,7.679497184
ARM,1990,6.104265341,15.3089834
ARM,1991,3.90969611,9.805188887
ARM,1992,2.330245731,5.844060466
ARM,1993,1.695954904,4.253312527
ARM,1994,2.790092763,6.997318439
ARM,1995,3.276835338,4.536131652
ARM,1996,1.843836401,6.293742392
ARM,1997,1.679744898,6.361643931
ARM,1998,2.424467406,5.969267791
ARM,1999,2.302423797,5.873074197
ARM,2000,1.874430941,7.098231006
ARM,2001,1.80971087,6.81472101
ARM,2002,2.22939618,7.751057123
ARM,2003,2.744523935,8.410586477
ARM,2004,1.641991821,10.37740405
ARM,2005,1.632838801,11.99639152
ARM,2006,1.507649892,14.59468333
ARM,2007,2.365186083,14.36268528
ARM,2008,1.745273848,15.75738891
ARM,2009,2.462428914,12.75651711
ARM,2010,2.489868302,11.96724479
ARM,2011,1.931758071,10.269433
ARM,2012,1.29336882,9.872799063
ARM,2013,1.077625718,8.975470906
ARM,2014,1.092045564,8.396133173
ARM,2015,1.314052888,8.103356451
ARM,2016,1.457819518,6.872504385
ARM,2017,1.926032003,6.572104024
ARM,2018,1.244773812,7.221297288
ARM,2019,1.526058121,6.686705919
ATG,1990,8.259683997,21.04077513
ATG,1991,8.538409965,21.75080501
ATG,1992,7.859611366,20.02162904
ATG,1993,6.966310134,17.74602728
ATG,1994,6.775718934,17.2605139
ATG,1995,7.553824103,19.24266495
ATG,1996,7.860348674,20.02350707
ATG,1997,8.062557328,20.53861536
ATG,1998,8.594456734,21.8935794
ATG,1999,8.993865236,22.91103451
ATG,2000,9.012073049,22.95741778
ATG,2001,6.370294601,16.22773322
ATG,2002,6.879801521,17.52565418
ATG,2003,7.217527984,18.38598032
ATG,2004,7.308987834,18.61896589
ATG,2005,8.364906039,21.30881899
ATG,2006,11.2493086,28.65656634
ATG,2007,11.60933718,29.5737059
ATG,2008,11.63549845,29.64035029
ATG,2009,11.72390777,29.86556342
ATG,2010,8.749088233,22.28748734
ATG,2011,6.441298354,16.4086082
ATG,2012,6.838313923,17.4199674
ATG,2013,7.372320546,18.78029981
ATG,2014,18.15165162,9.386875029
ATG,2015,7.794579612,19.10771273
ATG,2016,8.901661185,18.4252219
ATG,2017,2.290968299,25.15751726
ATG,2018,2.24196752,41.37998537
ATG,2019,2.361141762,37.16340012
AUS,1990,2.158238209,17.19742867
AUS,1991,2.363402964,15.38643618
AUS,1992,2.34822964,15.44887748
AUS,1993,2.374128411,15.60207188
AUS,1994,2.491418149,17.01773704
AUS,1995,2.094211791,16.80906347
AUS,1996,2.229723727,17.13324981
AUS,1997,2.434229389,18.43431461
AUS,1998,2.246013634,18.58800983
AUS,1999,2.234882966,18.79509276
AUS,2000,2.474029176,18.29509726
AUS,2001,2.487978439,17.07861477
AUS,2002,2.530410328,19.0767276
AUS,2003,2.414545135,20.45685645
AUS,2004,2.542459812,21.07601619
AUS,2005,2.740296033,22.05997823
AUS,2006,2.667566966,22.46177854
AUS,2007,2.745504511,23.31837197
AUS,2008,3.110841027,24.12871969
AUS,2009,3.304583024,22.81758824
AUS,2010,4.093472065,22.50366037
AUS,2011,3.726477354,24.01363662
AUS,2012,3.482433876,25.88615922
AUS,2013,3.191595835,24.9559793
AUS,2014,3.201084643,23.59315393
AUS,2015,2.919901748,22.2305738
AUS,2016,3.273416238,20.64129755
AUS,2017,3.751521154,20.42720559
AUS,2018,3.746300234,20.37653365
AUS,2019,3.903928916,19.305846
AUT,1990,3.780956116,20.8604717
AUT,1991,3.849619976,21.95383191
AUT,1992,3.843760913,21.46517539
AUT,1993,4.081792542,20.78637346
AUT,1994,4.10411694,21.43034952
AUT,1995,3.851650529,21.07079339
AUT,1996,3.63872645,21.79291999
AUT,1997,2.909893348,22.16451441
AUT,1998,2.844752062,22.2264722
AUT,1999,2.793795357,21.76012394
AUT,2000,2.603913257,22.46609611
AUT,2001,2.390181721,22.10424183
AUT,2002,2.603917381,20.7816468
AUT,2003,2.474181505,21.57925089
AUT,2004,2.411290932,21.28968768
AUT,2005,2.950580769,20.26132136
AUT,2006,2.881264779,19.80744033
AUT,2007,2.993833937,20.03256506
AUT,2008,3.237308333,20.0233516
AUT,2009,3.378459679,19.08779327
AUT,2010,3.239073472,18.28830791
AUT,2011,3.002918002,19.26624392
AUT,2012,2.896754167,19.42007375
AUT,2013,2.992270485,19.6859892
AUT,2014,2.927186457,19.48161249
AUT,2015,2.982702471,19.73788394
AUT,2016,2.998397352,20.24421375
AUT,2017,3.1083105,20.50885588
AUT,2018,3.034046,20.89899032
AUT,2019,3.012849398,21.52745691
AZE,1990,0.33814365,4.428185808
AZE,1991,0.19095612,2.500680309
AZE,1992,0.364035394,4.767252953
AZE,1993,0.066555307,4.858958493
AZE,1994,1.497788668,4.678321847
AZE,1995,0.173927665,3.505226559
AZE,1996,0.11704424,6.728322304
AZE,1997,0.298603025,8.401096351
AZE,1998,0.367430139,9.363408558
AZE,1999,0.474583073,8.404871154
AZE,2000,0.575691096,7.624807838
AZE,2001,0.466439765,8.532324481
AZE,2002,0.709879007,10.0460427
AZE,2003,0.732201636,12.49183246
AZE,2004,0.649576091,12.22914309
AZE,2005,0.821650643,10.14863534
AZE,2006,2.494596758,7.703357927
AZE,2007,3.869599266,4.746381423
AZE,2008,6.352904011,3.05061817
AZE,2009,5.247235864,2.869231088
AZE,2010,5.610859539,2.715648396
AZE,2011,8.745804606,2.725218682
AZE,2012,10.55620357,2.227692864
AZE,2013,11.25276019,3.410071899
AZE,2014,8.913071875,6.53463011
AZE,2015,6.266661839,7.767106858
AZE,2016,5.397761375,7.12507741
AZE,2017,5.398960214,7.142134077
AZE,2018,8.315186552,3.892282588
AZE,2019,7.156108571,5.267691363
BDI,1990,0.557092351,2.1298518
BDI,1991,0.545292744,2.035760846
BDI,1992,0.672762379,2.244917215
BDI,1993,0.855874502,2.835347998
BDI,1994,0.527805054,1.62747132
BDI,1995,0.539611678,1.622181198
BDI,1996,0.811352225,2.456448071
BDI,1997,0.582529199,2.563856387
BDI,1998,0.650635204,2.658067742
BDI,1999,1.553685669,5.72375739
BDI,2000,0.552058481,2.773114943
BDI,2001,0.612303305,3.177593909
BDI,2002,0.554336998,3.252987812
BDI,2003,2.370485704,4.701206533
BDI,2004,3.483056821,5.252960301
BDI,2005,1.869242048,5.494440005
BDI,2006,2.41466718,4.543927565
BDI,2007,3.961086274,2.626446476
BDI,2008,4.925239599,1.519255584
BDI,2009,4.054035232,4.008860512
BDI,2010,4.136479425,4.974638579
BDI,2011,6.535123179,2.628120307
BDI,2012,5.782836809,3.259226416
BDI,2013,5.4642847,3.384869511
BDI,2014,1.090418251,8.052119127
BDI,2015,1.465836573,6.588214745
BDI,2016,1.906465692,6.299974913
BDI,2017,2.619165138,5.513240647
BDI,2018,2.812185097,7.186211332
BDI,2019,2.777040481,7.499734985
BEL,1990,1.871494192,21.16069689
BEL,1991,1.973844226,19.70649656
BEL,1992,2.057568697,19.52758605
BEL,1993,2.312228543,18.93370757
BEL,1994,2.291473871,18.3692862
BEL,1995,2.171998493,18.69223263
BEL,1996,2.029807005,18.67695485
BEL,1997,2.063304054,19.22303979
BEL,1998,2.012388368,19.33470451
BEL,1999,2.273205316,19.18735926
BEL,2000,2.271863853,19.44656685
BEL,2001,2.046166938,19.78696448
BEL,2002,2.004320205,18.57598907
BEL,2003,2.03374416,18.30802494
BEL,2004,1.993631067,19.42037127
BEL,2005,2.041869583,20.08627373
BEL,2006,1.846292597,20.14202544
BEL,2007,1.904558202,20.84897557
BEL,2008,1.939165104,21.14579495
BEL,2009,2.205233736,19.79482397
BEL,2010,2.155637533,19.23309202
