ISO3,year,eci
MOZ,2010,-1.1726853026
MOZ,2013,-1.0406029407
MOZ,2011,-1.0889379694
MOZ,2020,-1.2013350473
MOZ,2015,-1.1234750228
MOZ,2016,-1.2400490954
MOZ,2019,-1.2813886725
MOZ,2014,-1.1870401735
MOZ,2017,-1.3124525724
MOZ,2018,-1.2674943016
MOZ,2012,-1.2477392361
MOZ,2022,-1.2735896745
MOZ,2021,-1.2846493245
MOZ,2023,-1.2692319571
MWI,2012,-0.8844577909
MWI,2013,-0.8629040684
SSD,2016,-2.1100688885
SSD,2017,-2.1666831281
SSD,2019,-2.1588379807
SSD,2018,-2.0568968543
SSD,2014,-2.7855158359
SSD,2015,-2.9330544944
TZA,2009,-0.6586376341
TZA,2019,-0.6723675726
TZA,2020,-0.7008237129
TZA,2008,-0.7076735975
TZA,2005,-1.0365977036
TZA,2007,-0.7257991073
TZA,2018,-0.6610101811
TZA,2004,-1.1865296578
TZA,2006,-0.9754930955
TZA,2010,-0.8595296597
TZA,2011,-0.8046225737
TZA,2012,-0.8051656465
TZA,2013,-0.8314888875
TZA,2014,-0.8607525758
TZA,2015,-0.9781728235
TZA,2016,-1.0624587273
TZA,2017,-1.1702712017
TZA,2022,-1.1752358405
TZA,2023,-1.1349708809
TZA,2021,-1.1777394675
UGA,2016,-0.3950629942
UGA,2014,-0.2849494973
UGA,2015,-0.3244692124
UGA,2013,-0.4199521174
UGA,2012,-0.5282862719
UGA,2017,-0.5501556711
UGA,2008,-0.5057467698
UGA,2009,-0.4992899637
UGA,2010,-0.5104265457
UGA,2011,-0.5946453524
UGA,2023,-0.6157155566
UGA,2018,-0.6611393103
UGA,2019,-0.813976043
UGA,2022,-0.7438863693
UGA,2020,-0.9774267622
UGA,2021,-0.9367343077
AGO,1998,-1.3313775834
AGO,1999,-1.6533252116
AGO,2000,-1.8137180091
AGO,2001,-1.7415322299
AGO,2002,-1.7429947368
AGO,2005,-1.6806712888
AGO,2003,-1.807400574
AGO,2004,-1.6306248582
AGO,2006,-1.8688553373
AGO,2007,-1.7036526436
AGO,2010,-1.2415911692
AGO,2009,-1.3986890926
AGO,2008,-1.6552197322
AGO,2011,-1.5303478949
AGO,2023,-1.229129349
AGO,2016,-1.4771719546
AGO,2013,-1.4320031693
AGO,2021,-1.2942575171
AGO,2017,-1.4895315134
AGO,2018,-1.4496467376
AGO,2022,-1.454026729
AGO,2012,-1.594486395
AGO,2019,-1.4500635525
AGO,2020,-1.3664242002
AGO,2014,-1.3806050973
AGO,2015,-1.5775347895
CMR,1998,-1.7929799128
CMR,2002,-1.3196733717
CMR,1999,-1.7763302446
CMR,2000,-1.8310305672
CMR,2003,-1.3275203739
CMR,2001,-1.585425982
CMR,2016,-0.8678736572
CMR,2004,-1.3282472668
CMR,2017,-0.8887548414
CMR,2009,-1.0495561463
CMR,2015,-0.8424052276
CMR,2005,-1.6949289857
CMR,2014,-0.9050599922
CMR,2008,-1.1291351775
CMR,2007,-1.317694921
CMR,2013,-0.9569946098
CMR,2006,-1.7351509934
CMR,2021,-0.9710513689
CMR,2010,-1.204668275
CMR,2020,-1.0937226786
CMR,2019,-1.0889540049
CMR,2022,-1.0145683511
CMR,2011,-1.1437751948
CMR,2012,-1.1158762777
CMR,2018,-1.1298877978
CMR,2023,-1.1970604441
COD,2013,-0.9374567568
COD,2011,-1.0719600622
COD,2007,-1.6725434265
COD,2008,-1.3924389348
COD,2012,-1.1052075473
COD,2009,-1.5756035385
COD,2019,-1.3029578808
COD,2010,-1.6493309338
COD,2017,-1.4492785746
COD,2018,-1.4091880411
COD,2016,-1.5967207535
COD,2020,-1.3394852045
COD,2015,-1.4930711725
COD,2022,-1.676470783
COD,2021,-1.7142211173
COD,2023,-1.937604893
COD,2014,-1.6344020958
COG,2000,-1.3693957293
COG,2001,-1.3123789388
COG,2002,-1.636930619
