skim_variable,n_missing,complete_rate,numeric.mean,numeric.sd,first_year
year,0,1,2009.9261184840607,11.800430122024252,1990
gdp_usd,865,0.8816527568750855,349.79986899760104,1491.0800986715572,1990
gdp_growth,866,0.8815159392529758,3.461089440464502,6.715133014889492,1990
gdp_pc,865,0.8816527568750855,11483.692942075648,16975.95947526881,1990
gdp_pc_growth,866,0.8815159392529758,1.9225082032601266,6.431858064807893,1990
LDC,865,0.8816527568750855,0.22905027932960895,0.42025427579760266,1990
LLDC,865,0.8816527568750855,0.1452513966480447,0.3523814664905533,1990
SIDS,865,0.8816527568750855,0.11173184357541899,0.31506069682835564,1990
CPI,1055,0.8556574086742372,2206604710.627209,137092575158.28052,1990
infl,1065,0.8542892324531399,904704.7942481806,71484845.2364674,1990
cbrate,2937,0.5981666438637296,15.027956214874015,119.52864474380934,1990
USDfx,920,0.8741277876590505,884.748119064341,12658.478084386337,1990
REER,1424,0.8051717061157477,108.09264676812451,171.02297660816586,1990
HPI,5587,0.23559994527295114,114.48470286627351,144.2001078380372,1990
unemp,2929,0.5992611848406075,8.56906784937279,6.285771620406685,1990
inv_GDP,953,0.8696128061294295,23.594671884011255,9.389329575396076,1990
gen_govexp_GDP,1523,0.7916267615268846,30.893427121445583,18.414330916659726,1990
gen_govrev_GDP,1511,0.7932685729922013,28.07497362151521,14.297439853911008,1990
govdebt_GDP,1280,0.8248734436995485,57.85544378768888,53.44608248418277,1990
exports_gdp,1903,0.7396360651251881,38.91136422532528,28.52161752465989,1990
exports_usd,1907,0.7390887946367493,99543497579.92343,272078647963.05847,1990
fdi_in_gdp,1253,0.8285675194965112,4.544148105086325,19.74304007296111,1990
fdi_out_gdp,1222,0.8328088657819127,2.0749294543626595,18.4576578615075,1990
gross_CF_gdp,1994,0.7271856615132029,23.639146721106492,8.458783056234276,1990
gross_fixed_CF_gdp,2107,0.7117252702148036,22.410776794979586,7.661371709265179,1990
gross_fixed_CF_private_gdp,5212,0.2869065535640991,17.090708386996607,8.316934016242472,1990
imports_gdp,1903,0.7396360651251881,43.69224245136326,26.079591630372704,1990
imports_usd,1907,0.7390887946367493,97438696917.48033,280611282445.2555,1990
interest_payments,3906,0.46559036803940346,9.014655042960229,7.825544689945137,1990
life_expectancy,1257,0.8280202490080723,68.3997450752019,9.718261068076428,1990
un_multidim_pov,7204,0.014365850321521378,24.22952380952381,25.04989222995981,2013
wb_multidim_pov,6326,0.13449172253386232,8.839165818921668,17.506677286365115,2008
oda_gni,3007,0.5885894103160487,6.37506660099597,9.471299090565799,1990
patents_per_million,4183,0.4276918867150089,12225.827895073577,75706.59693214463,1990
remittances_gdp,2192,0.7000957723354768,4.138180684087091,7.913450614658285,1990
working_age_pop_pct,1079,0.8523737857436038,61.60953452222228,7.07696821799004,1990
pov_international,5129,0.29826241619920646,11.310504587155963,19.302140182480244,1990
pov_national,5947,0.18634560131344913,25.78891336270191,15.243156824356147,1990
rnd_gdp,5014,0.31399644274182514,0.9691285969498911,0.9760224937685328,1996
researchers_per_million,5464,0.2524285127924477,2075.722502688347,2013.3183055382096,1996
school_enrollment_primary,2844,0.6108906827199343,99.2566833091494,17.09862705259839,1990
fiscal_balance_gdp,976,0.8664660008209057,-2.666520237256784,12.04175524487501,1991
primary_fiscal_balance_gdp,1194,0.8366397592009851,-0.9097323396205491,11.767828813751867,1991
net_debt_gdp,4472,0.38815159392529763,42.58444294338468,48.1034921548184,1991
government_investment_gdp,3150,0.5690244903543576,4.840506456011902,3.833744119365215,1991
private_sector_investment_gdp,3150,0.5690244903543576,13.96040132326752,6.706675720776223,1991
output_gap_pct,6365,0.12915583527158303,-0.41303601694915254,2.8094567882686703,1991
food_price_index,2519,0.6553564099055958,103.2993281635895,21.794711225762114,1998
oil_price_index,3308,0.5474073060610207,155.23105925009966,46.28761904192361,2003
gini,1044,0.8571624025174442,0.5716090023942538,0.09308690909916481,1990
income_share_b50,1044,0.8571624025174442,0.14599217877094972,0.04789554519787835,1990
income_share_t10,1044,0.8571624025174442,0.4604026017557861,0.0954259688513807,1990
share_ratio,1044,0.8571624025174442,3.783527236361773,2.178664479141467,1990
total_hours_worked,3592,0.508551101381858,56069.877328490715,202811.9188865731,1990
labor_productivity_person_growth,2593,0.645231905869476,1.505803647158609,5.579169610504196,1990
labor_productivity_hour_growth,3672,0.49760569161307977,1.8699367610668134,4.540280206984579,1990
total_factor_productivity_growth,2648,0.6377069366534409,-0.1543853250375456,5.344464164213819,1990
eci,4078,0.4420577370365303,-1.8676108959334223e-12,0.9959671000562486,1998
cpi,5070,0.30633465590368036,42.62840553818669,19.322677798499726,2012
hdi,1743,0.7615268846627445,0.678095041322314,0.1675091376049597,1990
pub_per_million,2530,0.6538514160623888,301.16598538199645,534.8428565002639,1996
commodity_index,4699,0.3570939937063894,-0.4807885817520053,3.5166374501807014,1995
