ISO3,year,exports_gdp,exports_usd,fdi_in_gdp,fdi_out_gdp,gross_CF_gdp,gross_fixed_CF_gdp,gross_fixed_CF_private_gdp,imports_gdp,imports_usd,interest_payments,life_expectancy,un_multidim_pov,wb_multidim_pov,fiscal_balance_gdp,oda_gni,remittances_gdp,pov_international,pov_national,rnd_gdp,researchers_per_million,school_enrollment_primary
BOL,2004,31.13839051859984,2731911668.346774,0.7457726086967219,0.03191446285115117,11.021703148900896,11.687121020690729,NA,26.3258755715318,2309687991.431452,9.363404605697214,63.819,NA,NA,-5.3889264141617,8.423902275219922,2.399952430127349,13.2,NA,NA,NA,115.955810546875
BOL,2005,35.54814293065667,3394535859.0102577,-2.4988682454474143,0.03141649793119706,14.253621633663668,12.990846906531017,NA,32.09379843071761,3064676257.1376214,10.032872105273777,64.182,NA,NA,-3.6902011922353775,5.9184236597185365,3.5295394146727515,18.7,NA,NA,NA,115.199371337891
BOL,2006,41.77171426810296,4783631930.982223,2.4516875612377453,0.02619665237885013,13.865331105127929,14.296679671822044,NA,32.766134163444036,3752326864.851378,12.798505095173589,64.529,NA,NA,12.163758914869533,7.305525246182111,5.265300708002416,15.9,NA,NA,NA,113.561637878418
BOL,2007,41.7956567530236,5483635308.794975,2.7918538574929936,0.02286566542052274,15.186654854955922,16.139593687329373,NA,34.26625469459118,4495769626.345885,9.535541856346,64.939,NA,NA,1.2421216508946875,3.474023697033656,8.043886384405669,12.1,NA,NA,NA,112.767723083496
BOL,2008,44.90655599255889,7487843216.679669,3.0726107475531808,0.01799178536184887,17.55274006111411,17.248717146233474,NA,37.96046490362093,6329632797.44018,NA,65.299,NA,NA,NA,3.6507701527963823,6.805203581151131,10.6,NA,NA,NA,111.650062561035
BOL,2009,35.72262482542744,6194300356.125357,2.4396781456044385,0.01730104585101483,16.971260971496015,16.47926079600788,NA,32.90444908733171,5705628903.1339035,NA,65.656,NA,NA,NA,3.6702437251179623,6.101098479054708,10,NA,0.157,143.15295,108.031242370605
BOL,2010,41.18745614161314,8093221339.989485,3.1654286764789528,-0.14659422904556013,17.007018458846893,16.572245345165143,NA,34.32417010967455,6744604596.455838,NA,66.003,NA,NA,NA,2.7384781462536605,4.886647570038816,NA,NA,NA,162.98202,104.396370229571
BOL,2011,44.09170185333077,10565767132.643944,3.5844225137888466,0.00114662120307311,19.81555242900264,18.96562563089515,NA,38.38869357102098,9199145865.29377,NA,66.282,NA,13.7,NA,2.376097798431826,4.352499596141176,6.9,NA,NA,NA,100.921849072087
BOL,2012,47.1661966249317,12774727337.192474,3.913550146140797,0,17.672991991484125,18.362877243426137,NA,37.78256454356252,10233217742.402315,NA,66.586,NA,12.7,NA,2.5995393355964187,4.100250143919428,7.9,NA,NA,NA,98.3129253076371
BOL,2013,44.0924795250944,13518462720.694645,5.706622119029095,0,19.017726885894465,19.06008182820126,NA,37.138428001622955,11386396497.829231,NA,66.777,NA,12.1,NA,2.4426468170459863,3.918347629992649,6.8,NA,NA,NA,96.8904736314233
BOL,2014,43.29308799093168,14285068712.011578,1.9898248562969587,-0.10035418376516904,21.033797031271504,20.98204961615809,NA,41.971381571581375,13848955976.845152,NA,66.97,NA,11.8,NA,2.1552567864772945,3.5669764269415127,5.6,NA,NA,NA,95.4654700824142
BOL,2015,30.868296029124544,10186598885.672935,1.6807278796133456,-0.00541424261389995,20.28127687882649,21.37105961402199,NA,37.06454916140027,12231374703.328508,NA,67.205,NA,11.2,NA,2.482702138712668,3.608942543252239,6.2,NA,NA,NA,95.0961939865757
BOL,2016,24.48800553944644,8311504862.518089,0.9880801494622592,0.26182407741932867,21.05736185338585,20.67048418760634,NA,31.91302896321084,10831641432.706224,NA,67.392,NA,12.6,NA,2.0903370769363603,3.672932807925349,7.2,43,NA,NA,95.5387659267627
BOL,2017,19.53886666850879,8973701186.685963,1.5513038481157622,0.17351960713955866,24.376340785281418,23.11766583387291,NA,26.03724569656197,11958240289.4356,NA,67.536,NA,10.8,NA,2.117820337226602,3.0656988529880467,6.4,42.2,NA,49.89826,96.4475043810472
BOL,2018,20.355058928554364,9854706136.034733,0.6245477316229215,-0.17446448564074746,24.029493898064068,22.823299112169472,NA,26.5711364131824,12864160303.90738,NA,67.699,NA,9.6,NA,1.5364472076089497,2.8675187758300913,4.7,39.9,NA,NA,97.122722190495
BOL,2019,20.047439935224865,9834601157.742405,-0.4416055141185203,0.09848678819054842,22.702413691555417,22.914205336982267,NA,25.773533339677517,12643630390.73806,NA,67.82,NA,6.5,NA,1.470956935910574,2.7226081917053886,3.1,37.2,NA,58.8279,97.6714741591375
BOL,2020,16.87175316977856,7139077206.946454,-2.669312839462517,-0.26263038573466785,17.268345922028985,15.79373053324633,NA,20.644681074870014,8735545774.24023,NA,62.906,NA,7.6,NA,0.8125094387373518,2.662295384118195,4.2,39,NA,NA,98.2369486079625
BOL,2021,23.552515626564382,11276448089.725037,1.2188849497005887,0.1907555348555083,17.78664399720313,17.043148990119768,NA,24.114568689334007,11545547250.361794,NA,61.427,NA,5.5,NA,1.0842743768976866,2.960578333020625,3.1,36.4,NA,63.0569,98.4694228398409
BOL,2022,27.793991504201543,14163562908.827784,0.01223919239459088,-0.15854746489677357,18.040801574836795,17.38066963150901,NA,29.73094207476151,15150615137.48191,NA,67.434,NA,5.5,NA,0.6755854538785468,2.8635152341290713,3.3,37.7,NA,NA,99.1960878877715
BOL,2023,22.402809538164856,11725676874.095514,0.4588124802653987,0.490147568702744,18.983535968327885,17.708056328457563,NA,27.205516021294834,14239423386.396526,NA,68.581,5.8,5.4,NA,1.496252312456532,2.7691706709917265,2.8,36.5,NA,NA,98.5726894625786
BOL,2024,21.43506242959999,11763846801.736614,0.53189084753403,0.32642451246042686,17.947016085102813,16.608811759145006,NA,25.542809185240333,14018232749.638205,NA,NA,NA,NA,NA,NA,2.341242804965247,NA,NA,NA,NA,NA
