ISO3,year,output_gap_pct
ESP,2004,2.037
ESP,2005,2.758
ESP,2006,4.122
ESP,2007,5.321
ESP,2008,4.219
ESP,2009,-0.915
ESP,2010,-1.491
ESP,2011,-2.376
ESP,2012,-5.234
ESP,2013,-6.71
ESP,2014,-6.056
ESP,2015,-3.938
ESP,2016,-2.149
ESP,2017,-0.15
ESP,2018,1.82
ESP,2019,3.197
ESP,2020,-8.396
ESP,2021,-3.503
ESP,2022,0.504
ESP,2023,0.295
ESP,2024,1.13
ESP,2025,1.456
ESP,2026,1.072
EST,1995,-6.246
EST,1996,-6.2
EST,1997,0.579
EST,1998,-0.943
EST,1999,-5.779
EST,2000,-1.066
EST,2001,-0.079
EST,2002,1.379
EST,2003,3.213
EST,2004,4.821
EST,2005,9.027
EST,2006,13.008
EST,2007,15.085
EST,2008,5.245
EST,2009,-11.164
EST,2010,-9.83
EST,2011,-4.958
EST,2012,-3.83
EST,2013,-4.259
EST,2014,-2.969
EST,2015,-2.748
EST,2016,-1.432
EST,2017,1.979
EST,2018,3.34
EST,2019,4.825
EST,2020,-0.422
EST,2021,6.205
EST,2022,3.658
EST,2023,-0.184
EST,2024,-0.967
EST,2025,-1.286
EST,2026,-0.838
FIN,1990,7.686
FIN,1991,-0.349
FIN,1992,-5.065
FIN,1993,-7.188
FIN,1994,-5.283
FIN,1995,-3.706
FIN,1996,-3.144
FIN,1997,-0.477
FIN,1998,1.023
FIN,1999,1.451
FIN,2000,3.22
FIN,2001,2.14
FIN,2002,0.506
FIN,2003,-0.534
FIN,2004,0.601
FIN,2005,0.873
FIN,2006,2.76
FIN,2007,6.177
FIN,2008,5.475
FIN,2009,-3.732
FIN,2010,-1.197
FIN,2011,0.681
FIN,2012,-1.214
FIN,2013,-2.415
FIN,2014,-3.11
FIN,2015,-2.972
FIN,2016,-1.085
FIN,2017,1.367
FIN,2018,1.668
FIN,2019,2.226
FIN,2020,-1.067
FIN,2021,0.795
FIN,2022,0.763
FIN,2023,-0.975
FIN,2024,-1.458
FIN,2025,-1.738
FIN,2026,-1.227
FRA,1990,2.077
FRA,1991,0.968
FRA,1992,0.411
FRA,1993,-2.042
FRA,1994,-1.678
FRA,1995,-1.473
FRA,1996,-2.179
FRA,1997,-2.126
FRA,1998,-1.008
FRA,1999,-0.191
FRA,2000,1.487
FRA,2001,1.245
FRA,2002,0.437
FRA,2003,-0.591
FRA,2004,0.013
FRA,2005,0.014
FRA,2006,1.018
FRA,2007,2.003
FRA,2008,1.097
FRA,2009,-2.508
FRA,2010,-1.786
FRA,2011,-0.768
FRA,2012,-1.516
FRA,2013,-1.979
FRA,2014,-2.215
FRA,2015,-2.409
FRA,2016,-2.664
FRA,2017,-1.547
FRA,2018,-0.833
FRA,2020,-4.499
FRA,2021,-2.074
FRA,2022,-0.744
FRA,2023,-0.371
FRA,2024,-0.12
FRA,2025,-0.296
FRA,2026,-0.343
FRA,2027,-0.235
FRA,2028,-0.086
FRA,2029,0.002
FRA,2030,0.055
G110,1990,1.736
G110,1991,0.422
G110,1992,-0.021
G110,1993,-1.359
G110,1994,-0.775
G110,1995,-0.821
G110,1996,-0.735
G110,1997,-0.016
G110,1998,-0.064
G110,1999,0.671
G110,2000,1.9
G110,2001,0.671
G110,2002,-0.241
G110,2003,-0.672
G110,2004,0.12
G110,2005,0.56
G110,2006,1.591
G110,2007,2.516
G110,2008,1.369
G110,2009,-3.31
G110,2010,-1.666
G110,2011,-1.405
G110,2012,-1.732
G110,2013,-1.989
G110,2014,-1.551
G110,2015,-1.27
G110,2016,-1.21
G110,2017,-0.504
G110,2018,0.036
G110,2019,0.188
G110,2020,-3.866
G110,2021,-0.573
G110,2022,0.443
G110,2023,0.142
G110,2024,0.075
G110,2025,-0.131
G110,2026,-0.16
G119,1990,1.796
G119,1991,0.316
G119,1992,0.008
G119,1993,-1.282
G119,1994,-0.703
G119,1995,-0.911
G119,1996,-0.782
G119,1997,-0.066
G119,1998,0.192
G119,1999,0.865
G119,2000,2.052
G119,2001,0.724
G119,2002,-0.369
G119,2003,-0.674
G119,2004,0.112
G119,2005,0.599
G119,2006,1.543
G119,2007,2.219
G119,2008,1.062
G119,2009,-3.718
G119,2010,-2.024
G119,2011,-1.719
G119,2012,-1.749
G119,2013,-1.944
G119,2014,-1.484
G119,2015,-1.179
G119,2016,-1.269
G119,2017,-0.643
G119,2018,-0.124
G119,2019,0.058
G119,2020,-3.864
G119,2021,-0.644
G119,2022,0.244
G119,2023,0.121
G119,2024,0.033
G119,2025,-0.185
G119,2026,-0.194
G119,2027,-0.082
G119,2028,0.008
G119,2029,0.058
G119,2030,0.048
G163,1991,1.883
G163,1992,1.02
G163,1993,-2.266
G163,1994,-1.671
G163,1995,-1.158
G163,1996,-1.631
G163,1997,-1.127
G163,1998,-0.466
G163,1999,0.016
G163,2000,0.982
G163,2001,1.044
G163,2002,0.107
G163,2003,-0.983
G163,2004,-0.61
G163,2005,-0.578
G163,2006,1.032
G163,2007,2.656
G163,2008,2.126
G163,2009,-2.975
G163,2010,-1.635
G163,2011,-0.661
G163,2012,-2.17
G163,2013,-3.05
G163,2014,-2.717
G163,2015,-2.237
G163,2016,-1.618
G163,2017,-0.435
G163,2018,0.09
G163,2019,0.392
G163,2020,-5.331
G163,2021,-1.572
G163,2022,0.791
G163,2023,0.185
G163,2024,-0.183
G163,2025,-0.287
G163,2026,-0.211
G163,2027,-0.008
G163,2028,0.12
G163,2029,0.18
G163,2030,0.144
GBR,1990,2.34
GBR,1991,-0.818
GBR,1992,-2.233
GBR,1993,-2.054
GBR,1994,-1.285
GBR,1995,-1.894
GBR,1996,-2.525
GBR,1997,-0.999
GBR,1998,-0.831
GBR,1999,-0.851
GBR,2000,0.505
GBR,2001,0.299
GBR,2002,-0.508
GBR,2003,0.135
GBR,2004,0.252
GBR,2005,0.865
GBR,2006,1.449
GBR,2007,2.627
GBR,2008,1.224
GBR,2009,-4.398
GBR,2010,-3.297
GBR,2011,-3.416
GBR,2012,-3.396
GBR,2013,-3.266
GBR,2014,-1.91
GBR,2015,-1.493
GBR,2016,-1.317
GBR,2017,-0.251
GBR,2018,-0.271
GBR,2019,-0.014
GBR,2020,-3.501
GBR,2021,0.53
GBR,2022,1.946
GBR,2023,-0.052
GBR,2024,-0.307
GBR,2025,-0.358
GBR,2026,-0.446
GBR,2027,-0.281
GBR,2028,-0.196
GBR,2029,-0.119
GBR,2030,-0.029
GRC,1990,3.057
GRC,1991,4.059
GRC,1992,3.302
GRC,1993,0.501
GRC,1994,0.783
GRC,1995,0.928
GRC,1996,-0.035
GRC,1997,0.665
GRC,1998,0.978
GRC,1999,0.041
GRC,2000,-0.279
GRC,2001,-0.28
GRC,2002,-0.244
GRC,2003,0.213
GRC,2004,0.998
GRC,2005,-0.879
GRC,2006,2.089
GRC,2007,3.018
GRC,2008,1.599
GRC,2009,-2.657
GRC,2010,-7.284
GRC,2011,-14.166
GRC,2012,-18.64
GRC,2013,-18.272
GRC,2014,-15.952
GRC,2015,-14.918
GRC,2016,-13.496
GRC,2017,-11.412
GRC,2018,-8.626
GRC,2019,-6.131
GRC,2020,-13.983
GRC,2021,-5.966
GRC,2022,-0.888
GRC,2023,0.748
GRC,2024,1.774
GRC,2025,1.603
GRC,2026,1.314
IRL,1990,3.664
IRL,1991,6.134
IRL,1992,2.876
IRL,1993,1.055
