ISO3,year,gdp_usd,gdp_growth,gdp_pc,gdp_pc_growth
OMN,2023,89.9478320614336,1.18712619787835,17814.0305183648,-5.20648133294436
OMN,2024,91.4139963950411,1.63001631057226,17308.2152197032,-2.83942086065329
OMN,2025,93.9315264856657,2.75398756197602,17094.9606603293,-1.23210022909315
PAK,1990,89.9750154070446,4.76665143626533,774.607801928033,1.32214792657097
PAK,1991,95.7478664286296,6.41606005341461,797.497439985582,2.95499709666953
PAK,1992,100.172852014582,4.62149784742371,810.808641711223,1.66912156180478
PAK,1993,102.934106693071,2.75649002994016,810.376412210922,-0.0533084476490142
PAK,1994,107.423320417764,4.36124999664,821.605318815761,1.3856408498124
PAK,1995,115.30522060921,7.33723381551882,856.763934611869,4.27925854311461
PAK,1996,123.958759058559,7.50489735298058,894.640305084918,4.42086424777059
PAK,1997,131.914740422409,6.41824863710713,925.510915601755,3.45061700678768
PAK,1998,142.20330145563,7.79940209886744,970.522897240547,4.86347388021091
PAK,1999,154.55438363548,8.6855101487945,1026.49351872894,5.767058319545
PAK,2000,164.143279370745,6.20422113544247,1059.81537054212,3.24618238743856
PAK,2001,169.254064070633,3.11361191239754,1062.68035549413,0.270328684754295
PAK,2002,176.051368968221,4.01603644492174,1078.5971058951,1.49779285169564
PAK,2003,187.755673465257,6.64823259576501,1123.54374260312,4.16713863428444
PAK,2004,201.918956187021,7.54346457838737,1178.84098050641,4.92168091071967
PAK,2005,215.331634803033,6.64260496849489,1227.28807497142,4.10972262299542
PAK,2006,226.581916409453,5.22463019273082,1261.01137738673,2.74779027866738
PAK,2007,233.962506724678,3.25736070741302,1268.13599315564,0.56499218775281
PAK,2008,240.52185217841,2.80358829521805,1269.25054355484,0.0878888703745861
PAK,2009,246.463503211652,2.47031651362581,1267.96943097901,-0.10093456980077
PAK,2010,251.627665625655,2.09530512498177,1262.9435314738,-0.396373870095889
PAK,2011,258.814450296777,2.85611864389086,1270.27950354171,0.580863030300715
PAK,2012,268.409349823986,3.70725031628136,1292.4980293534,1.74910527562961
PAK,2013,279.787079494772,4.23894684676486,1325.54037283919,2.55647147890241
PAK,2014,291.449232946241,4.16822444857998,1360.23015008277,2.61702909653889
PAK,2015,307.246380773395,5.42020566239316,1413.98652594823,3.9520059059269
PAK,2016,324.050250610452,5.46918398021754,1472.02650800596,4.10470545458705
PAK,2017,341.259884103153,5.31079160108076,1528.43561964908,3.83207172807846
PAK,2018,355.832248445032,4.27016623421059,1568.03413311087,2.59078713900231
PAK,2019,357.926358668802,0.588510522281571,1550.801405972,-1.09900204179144
PAK,2020,367.21425955487,2.59491950260712,1562.60226064392,0.760952023030303
PAK,2021,387.826664039869,5.61318193634004,1619.46811946828,3.63917679223875
PAK,2022,402.772389328201,3.85371266963612,1652.73404577181,2.05412665452533
PAK,2023,418.474567052738,3.89852386622824,1690.77562430831,2.30173624327607
PAK,2024,429.618374462572,2.66295930199975,1709.79346459947,1.12479976749952
