ISO3,year,fiscal_balance_gdp,primary_fiscal_balance_gdp,net_debt_gdp,government_investment_gdp,private_sector_investment_gdp,output_gap_pct
CZE,2012,-3.91750554707597,-2.76559797940261,28.1095312581191,4.065056676,21.62138895,NA
CZE,2013,-1.29850940666743,-0.212880225070167,28.8119892223839,3.647618396,21.48923049,NA
CZE,2014,-2.0934716403026,-1.00393079839589,29.1898955479808,4.096297084,21.28076508,NA
CZE,2015,-0.665740432816194,0.245194723003698,27.9236074193008,5.085083917,21.32550524,NA
CZE,2016,0.68488115910907,1.46315426499526,24.7348663956242,3.247196918,21.74820346,NA
CZE,2017,1.46030076395775,2.09053501756207,21.1713877278667,3.345657554,21.54204015,NA
CZE,2018,0.88150111408928,1.45626927924149,19.3840942639514,4.186303637,22.3538526,NA
CZE,2019,0.282753785149576,0.769196937476449,17.8338658917357,4.440199748,22.10997078,NA
CZE,2020,-5.64974320206962,-5.07036506930473,23.100369609208,NA,NA,NA
CZE,2021,-4.95117518039302,-4.35977618027333,25.5752640995093,NA,NA,NA
CZE,2022,-3.0687791210961,-2.55417403323067,28.8073022224141,NA,NA,NA
CZE,2023,-3.73471128921603,-3.1903395126804,28.6155127816536,NA,NA,NA
CZE,2024,-1.9935745928219,-1.31256699597978,29.2230290996229,NA,NA,NA
CZE,2025,-2.15814847142659,-1.47714087458447,29.3881119125534,NA,NA,NA
DEU,1992,-2.63168975782068,-0.0209370193404254,NA,3.047833585,19.67136594,2.606
DEU,1993,-3.11009821662285,-0.402824723730183,NA,2.926949666,18.95695638,-0.602
DEU,1994,-2.54224654791569,0.337210694116495,NA,2.791749623,19.3552905,-0.267
DEU,1995,-9.43666345602206,-6.3487602174817,NA,2.537571551,19.27468572,-0.646
DEU,1996,-3.63841415356535,-0.584944207076783,44.2996847388725,2.482740047,19.09027345,-1.228
DEU,1997,-3.02722679165099,-0.000508341890421822,45.5443324962637,2.310354072,18.9714467,-0.918
DEU,1998,-2.64954433296577,0.385450301882501,46.9284629952876,2.306627332,19.3392064,-0.486
DEU,1999,-1.8664670428068,0.925410641042922,48.1088848664574,2.406635704,19.71206568,-0.038
DEU,2000,-1.71431120460543,1.06035705229943,44.9522458984063,2.323552687,19.70145898,1.328
DEU,2001,-3.12462138982387,-0.523745974776022,46.1181127108261,2.293965225,18.83893386,1.608
DEU,2002,-4.08615788716177,-1.4570739781232,48.6419653137594,2.251946237,17.62900648,0.381
DEU,2003,-3.82950807966762,-1.21094604183309,52.3587899018658,2.208969593,17.48050456,-1.349
DEU,2004,-3.42100443079929,-0.900115131005129,54.8044517321983,2.03824191,17.2325127,-1.28
DEU,2005,-3.37084159245994,-0.928748640200197,57.1821508270593,2.023857843,17.29241497,-1.775
DEU,2006,-1.75518716665705,0.627529696889761,55.9155544930714,2.136348472,17.95187686,0.447
DEU,2007,0.154864645860704,2.55430293208298,53.0897404630598,2.02843136,18.21091023,2.394
DEU,2008,-0.262968856207131,2.06957146388185,52.8135620713094,2.137058701,18.15276488,2.488
DEU,2009,-3.17594036816802,-0.831044479284033,59.4465450667009,2.420846922,17.05718708,-3.834
DEU,2010,-4.42097535235502,-2.28948555784129,61.1864212353647,2.386023497,17.25651352,-0.973
DEU,2011,-0.839998398200159,1.15551656224631,59.4056958546148,2.326232704,17.9943353,1.358
DEU,2012,-0.0543354005315653,1.78060072590095,58.6994155640022,2.207701413,18.06609315,0.261
DEU,2013,0.122519605927828,1.5549384611091,57.7993567022969,2.170859772,17.75226958,-0.809
DEU,2014,0.731520169410314,1.96048209564847,54.3783653378992,2.09826027,18.02034693,-0.331
DEU,2015,0.914762733112409,1.996255300402,51.6323456526176,2.151433512,17.95230647,-0.324
DEU,2016,1.13410386171801,2.06640565095878,48.866897637401,2.201635435,18.19445019,0.095
DEU,2017,1.33721959371278,2.17016540108187,44.7028750926312,2.225965764,18.22852414,1.04
DEU,2018,1.8831227449964,2.60661671563731,42.0632900702673,2.321733981,18.60346869,0.883
