ISO3,year,fiscal_balance_gdp,primary_fiscal_balance_gdp,net_debt_gdp
SEN,2005,-0.263032542865764,0.441580438743468,NA
SEN,2006,-3.66518227018731,-2.97465728334904,NA
SEN,2007,-2.79782126271809,-2.28573611209866,NA
SEN,2008,-3.53109851982673,-3.01720924162071,NA
SEN,2009,-3.66282914009398,-3.06654704830364,NA
SEN,2010,-3.93766391196308,-3.18422277400576,NA
SEN,2011,-4.92446919431862,-3.68905240955482,NA
SEN,2012,-4.18450879225559,-2.99074634387018,NA
SEN,2013,-4.33543818139036,-3.12395557923438,NA
SEN,2014,-3.89627324749293,-2.55612514168997,NA
SEN,2015,-3.66339744060369,-2.14369700334486,NA
SEN,2016,-3.2721040399214,-1.60904089829277,NA
SEN,2017,-2.96803233132198,-1.05091165091265,NA
SEN,2018,-3.66268539637323,-1.66899432380066,NA
SEN,2019,-13.9317974774773,-11.4755972303798,NA
SEN,2020,-9.63521396973264,-7.39342035629255,NA
SEN,2021,-13.6732043817352,-11.4226044081696,NA
SEN,2022,-16.129988242305,-13.6793176548982,NA
SEN,2023,-14.7657423057064,-11.4373093770259,NA
SEN,2024,-13.4161155854328,-9.28246494777857,NA
SEN,2025,-7.92735600298558,-2.98616865797994,NA
SEN,2026,-4.97416554748369,-0.117327366160048,NA
SEN,2027,-3.02985501429941,1.92073978479372,NA
SEN,2028,-2.95327693915515,1.89813128657881,NA
SEN,2029,-3.011908369061,1.7531526837641,NA
SEN,2030,-2.98826353495767,1.75879573603152,NA
SGP,1998,2.41393315670642,NA,NA
SGP,1999,5.20383273085997,NA,NA
SGP,2000,4.59284676402554,NA,NA
SGP,2001,1.19659255872912,NA,NA
SGP,2002,2.23209006922148,NA,NA
SGP,2003,0.678051635534046,NA,NA
SGP,2004,2.05976604910638,NA,NA
SGP,2005,2.55551461104695,NA,NA
SGP,2006,2.15988931909347,NA,NA
SGP,2007,7.12021844800367,NA,NA
SGP,2008,3.58922418886813,NA,NA
SGP,2009,-0.0937434844292344,NA,NA
SGP,2010,5.68410596846319,NA,NA
SGP,2011,7.96174209696668,NA,NA
SGP,2012,7.33598076727603,NA,NA
SGP,2013,5.96265822342337,NA,NA
SGP,2014,4.59960763420999,NA,NA
SGP,2015,2.85954016909752,NA,NA
SGP,2016,3.2548784757191,NA,NA
SGP,2017,5.24351920507164,NA,NA
SGP,2018,3.68038509413536,NA,NA
SGP,2019,3.76876751572679,NA,NA
SGP,2020,-6.73398086176265,NA,NA
SGP,2021,1.12558101160123,NA,NA
SGP,2022,1.20827327198105,NA,NA
SGP,2023,3.46797532800764,NA,NA
SGP,2024,4.43932221210476,NA,NA
SGP,2025,3.10809648297702,NA,NA
SGP,2026,2.70925596653415,NA,NA
SGP,2027,2.35925596653419,NA,NA
SGP,2028,2.12633048368539,NA,NA
SGP,2029,1.9104795179875,NA,NA
SGP,2030,1.94462855228967,NA,NA
SGP,1991,0.681668506814716,NA,NA
SGP,1992,2.70140657368381,NA,NA
SGP,1993,4.35695071758524,NA,NA
SGP,1994,7.90468591108219,NA,NA
SGP,1995,4.80352319442427,NA,NA
SGP,1996,1.98285698499192,NA,NA
SGP,1997,5.66303609784947,NA,NA
SLB,1991,0.137265569970942,NA,NA
SLB,1992,4.12856579711301,NA,NA
SLB,1993,2.452464347337,NA,NA
SLB,1994,4.32898160275727,NA,NA
SLB,1995,3.19122746144006,NA,NA
SLB,1996,3.7318546709839,NA,NA
SLB,1997,2.13632864391171,NA,NA
SLB,1998,5.03966690707477,5.19586994783484,NA
SLB,1999,-0.322124675571569,2.2216066003375,NA
SLB,2000,-2.92914837342151,-0.778320569571291,NA
SLB,2001,-2.39610595129709,-2.26035661273425,NA
SLB,2002,-4.34962916772916,-3.57540358731454,NA
SLB,2003,10.5607552487389,10.9334236922689,NA
SLB,2004,17.0319993692987,17.9693719598193,NA
SLB,2005,13.3895966335027,14.1141299233108,NA
SLB,2006,12.9597776439995,13.4929336341225,NA
SLB,2007,15.3112683859459,18.2856272370275,NA
SLB,2008,1.93795487911519,2.78475463061257,NA
SLB,2009,2.3507817730119,2.87534346219438,NA
SLB,2010,6.01651371807978,6.36415729313272,NA
SLB,2011,6.22476241070597,6.50639528806697,NA
SLB,2012,4.63330841658381,4.84374933325992,NA
SLB,2013,3.57107734928466,3.72810205527152,NA
SLB,2014,2.12702251906072,2.26327717028254,NA
SLB,2015,0.808412689822738,0.919556122064551,NA
SLB,2016,-3.558216750757,-3.46003312401955,NA
SLB,2017,-2.27149385452492,-2.15333791083687,NA
SLB,2018,1.48751106601289,1.56891986782812,NA
SLB,2019,-1.52406643778997,-1.37098897379517,NA
SLB,2020,-2.43788908482849,-2.24189137785538,NA
SLB,2021,-1.85864007678909,-1.641483851721,NA
SLB,2022,-2.50805196142409,-2.16464753080058,NA
SLB,2023,-3.80548460034267,-3.50849431077193,NA
SLB,2024,-3.08308790216607,-2.61927941365987,NA
SLB,2025,-3.14716903488753,-2.64305924250512,NA
SLB,2026,-3.12371484764335,-2.58100998203239,NA
SLB,2027,-2.99257339838281,-2.34856558456224,NA
SLB,2028,-2.96610567267695,-2.27893586518134,NA
SLB,2029,-2.96658242624014,-2.20575665246101,NA
SLB,2030,-2.80106217345159,-2.04158178198674,NA
SLE,2001,-3.21931232728752,-1.10838160203205,NA
SLE,2002,-3.02752305848511,-0.525676826908746,NA
SLE,2003,-2.78289177860975,-0.581172814432873,NA
SLE,2004,-1.4559151097122,1.04354590575245,NA
SLE,2005,-1.16685385449074,0.867901783043422,NA
SLE,2006,-0.930303627839745,0.808726717639205,NA
SLE,2007,12.5682910808688,13.6570382698335,NA
SLE,2008,-2.21702591273554,-1.1856261820092,NA
SLE,2009,-1.50951966230768,-0.705973615382872,NA
