ISO3,year,CPI,infl,cbrate,USDfx,REER,HPI,unemp,inv_GDP,gen_govexp_GDP,gen_govrev_GDP,govdebt_GDP
MEX,2004,77.4154281616211,4.688406944274902,8.75,11.288203239440918,105.97796630859375,NA,3.9189999103546143,21.898849487304688,20.458999633789062,19.113000869750977,20.117454528808594
MEX,2005,80.502838134765625,3.988060712814331,8.270000457763672,10.895183563232422,109.80574798583984,76.32379913330078,3.4779999256134033,20.2855224609375,21.1560001373291,19.722000122070312,19.568714141845703
MEX,2006,83.42464447021484,3.6294631958007812,7.019999980926514,10.902304649353027,109.90115356445312,81.644500732421875,3.565999984741211,22.206195831298828,21.57699966430664,20.35099983215332,20.027311325073242
MEX,2007,86.73397064208984,3.9668495655059814,7.570000171661377,10.928046226501465,108.37275695800781,87.72840118408203,3.6530001163482666,22.42554473876953,22.520999908447266,21.062999725341797,20.474246978759766
MEX,2008,91.1790771484375,5.124981880187988,8.25,11.147955894470215,106.07298278808594,94.84100341796875,3.9040000438690186,21.791223526000977,26.50200080871582,25.820999145507812,24.01139259338379
MEX,2009,96.00917053222656,5.297357082366943,4.5,13.50247859954834,92.78253936767578,97.5239028930664,5.383999824523926,21.062532424926758,26.517000198364258,22.58099937438965,27.451330184936523
MEX,2010,100,4.1567277908325195,4.5,12.628713607788086,100,101.82039642333984,5.309000015258789,19.421554565429688,26.48200035095215,22.67799949645996,26.895416259765625
MEX,2011,103.40738677978516,3.407379627227783,4.5,12.438308715820312,99.7955322265625,107.41600036621094,5.190000057220459,20.045711517333984,26.621999740600586,23.417999267578125,27.656843185424805
MEX,2012,107.6589584350586,4.111508369445801,4.5,13.162566184997559,96.6231918334961,110.40119934082031,4.931000232696533,20.56735610961914,27,23.43400001525879,28.151823043823242
MEX,2013,111.75688934326172,3.806389808654785,3.5,12.769586563110352,102.23819732666016,116.87359619140625,4.940000057220459,18.71946144104004,26.66900062561035,23.108999252319336,30.761159896850586
MEX,2014,116.24800872802734,4.018617153167725,3,13.302096366882324,101.14208221435547,121.3634033203125,4.835000038146973,18.610124588012695,26.948999404907227,22.577999114990234,32.63771438598633
MEX,2015,119.4106674194336,2.7206413745880127,3.25,15.88330078125,90.62596893310547,133.76820373535156,4.3460001945495605,21.036928176879883,26.55699920654297,22.698999404907227,35.011146545410156
MEX,2016,122.78008270263672,2.8217077255249023,5.75,18.685216903686523,79.00779724121094,141.61839294433594,3.874000072479248,21.5546932220459,26.523000717163086,23.840999603271484,37.02120590209961
MEX,2017,130.1977996826172,6.0414557456970215,7.25,18.911243438720703,80.9630355834961,153.7489013671875,3.4189999103546143,22.472579956054688,25.01799964904785,23.983999252319336,35.265804290771484
MEX,2018,136.57666015625,4.899351119995117,8.25,19.24069595336914,80.91727447509766,168.0720977783203,3.321000099182129,23.477493286132812,24.969999313354492,22.83099937438965,35.36016082763672
MEX,2019,141.5425262451172,3.6359612941741943,7.25,19.257457733154297,83.53428649902344,180.94320678710938,3.489000082015991,22.17268943786621,25.26300048828125,22.996999740600586,41.327392578125
MEX,2020,146.35047912597656,3.396834135055542,4.25,21.484851837158203,77.09583282470703,190.6728973388672,4.4070000648498535,20.03224754333496,27.783000946044922,23.493000030517578,45.837345123291016
MEX,2021,154.67666625976562,5.689208507537842,5.5,20.286191940307617,81.64411163330078,206.9739990234375,4.140999794006348,22.200439453125,26.68400001525879,22.937000274658203,44.86095428466797
MEX,2022,166.89036560058594,7.896275997161865,10.5,20.113637924194336,86.02620697021484,228.51409912109375,3.2739999294281006,21.052146911621094,28.51799964904785,24.194000244140625,43.98352813720703
MEX,2023,176.11599731445312,5.527960777282715,11.25,17.745986938476562,100.04051208496094,251.50619506835938,2.796999931335449,19.80065155029297,28.591999053955078,24.292999267578125,45.143192291259766
MEX,2024,184.43264770507812,4.7363715171813965,10,18.325382232666016,100.21231079101562,273.42059326171875,2.7041995525360107,19.30870819091797,30.365999221801758,24.645000457763672,58.42499923706055
MEX,2025,190.58848571777344,3.337712287902832,8,20.41050910949707,102.67130279541016,NA,2.839036464691162,19.222015380859375,29.017000198364258,24.993000030517578,60.66400146484375
FSM,1990,NA,NA,NA,1,NA,NA,NA,33.63616943359375,NA,NA,NA
FSM,1991,NA,NA,NA,1,NA,NA,NA,33.769405364990234,NA,NA,NA
FSM,1992,NA,NA,NA,1,NA,NA,NA,34.041988372802734,NA,NA,NA
FSM,1993,NA,NA,NA,1,NA,NA,NA,34.05671691894531,NA,NA,NA
FSM,1994,NA,NA,NA,1,NA,NA,NA,33.98886489868164,NA,NA,NA
FSM,1995,64.84698486328125,NA,NA,1,NA,NA,NA,32.3238639831543,77.23799896240234,76.78700256347656,53.9119987487793
FSM,1996,66.66010284423828,2.7960000038146973,NA,1,NA,NA,NA,34.43560028076172,71.43599700927734,73.77400207519531,43.393001556396484
FSM,1997,68.43792724609375,2.6670000553131104,NA,1,NA,NA,NA,35.40489196777344,64.319000244140625,66.94000244140625,47.17300033569336
FSM,1998,69.5555191040039,1.6330000162124634,NA,1,NA,NA,NA,34.13036346435547,72.36399841308594,69.09400177001953,42.13399887084961
FSM,1999,70.890289306640625,1.9190000295639038,NA,1,NA,NA,NA,33.64960861206055,72.95800018310547,67.78299713134766,35.874000549316406
FSM,2000,72.42046356201172,1.8370000123977661,NA,1,NA,NA,22,32.15815734863281,67.404998779296875,63.91999816894531,27.143999099731445
