country_iso3,year,index_gdp_weighted
NZL,2015,0.02495319370702971
NZL,2016,0.025454010776434027
NZL,2017,0.02742279214402734
NZL,2018,0.027990854968107125
NZL,2019,0.026811536660601962
NZL,2020,0.026346931014905452
NZL,2021,0.030046941572217312
NZL,2022,0.029857728451480665
NZL,2023,0.029251221858898366
OMN,1995,-0.5318973468031841
OMN,1996,-0.4766152201642274
OMN,1997,-0.48097151124513693
OMN,1998,-0.5815160562374504
OMN,1999,-0.48123338950686595
OMN,2000,-0.34603723644811085
OMN,2001,-0.37842000887916144
OMN,2002,-0.368031561486634
OMN,2003,-0.3392060918016298
OMN,2004,-0.27854986909885315
OMN,2005,-0.1850200050545962
OMN,2006,-0.13512769018247578
OMN,2007,-0.12278682326089971
OMN,2008,-0.05398316298490889
OMN,2009,-0.16861382902759728
OMN,2010,-0.10539601454532269
OMN,2011,-0.05521574085679988
OMN,2012,-0.05064178695601524
OMN,2013,-0.05239207528472116
OMN,2014,-0.07165492686693888
OMN,2015,-0.23011142064552062
OMN,2016,-0.2687080220186085
OMN,2017,-0.21634908106200518
OMN,2018,-0.15411797622097165
OMN,2019,-0.17886124275528223
OMN,2020,-0.29022917091477995
OMN,2021,-0.17016702433021622
OMN,2022,-0.09150054803957863
OMN,2023,-0.13736949019254602
PAK,1995,-0.007197810637837898
PAK,1996,-0.008008875953957304
PAK,1997,-0.007465197568932271
PAK,1998,-0.008405780901244577
PAK,1999,-0.008842495094913444
PAK,2000,-0.008921256955454752
PAK,2001,-0.010191361021887802
PAK,2002,-0.009300357424943305
PAK,2003,-0.008976433204675125
PAK,2004,-0.00869339921225876
PAK,2005,-0.008038403482168149
PAK,2006,-0.008113441438931272
PAK,2007,-0.007796281132816447
PAK,2008,-0.005478584024412267
PAK,2009,-0.0062463459787058875
PAK,2010,-0.0060460431251963985
PAK,2011,-0.004937035751650699
PAK,2012,-0.006277337587104996
PAK,2013,-0.0070652938363786515
PAK,2014,-0.006815093274463298
PAK,2015,-0.007066719458552968
PAK,2016,-0.006501128299673864
PAK,2017,-0.006579804817261019
PAK,2018,-0.006719250608898126
PAK,2019,-0.006813781099640404
PAK,2020,-0.007183968725975322
PAK,2021,-0.007284967013473028
PAK,2022,-0.0063949094765844644
PAK,2023,-0.005779608723502254
PAN,1995,-0.018671744088163317
PAN,1996,-0.018379755310826057
PAN,1997,-0.01851760231557648
PAN,1998,-0.01989306587994198
PAN,1999,-0.02737131709598314
PAN,2000,-0.018396780358129083
PAN,2001,-0.018522571534216433
PAN,2002,-0.0267886574631562
PAN,2003,-0.018524275311433015
PAN,2004,-0.018610169066468046
PAN,2005,-0.016506512310692376
PAN,2006,-0.014540518283659777
PAN,2007,-0.015438218999607152
PAN,2008,-0.013894376674429745
PAN,2009,-0.013708565143460064
PAN,2010,-0.01273212427606416
PAN,2011,-0.011918198957056472
PAN,2012,-0.01238272307183713
PAN,2013,-0.013196073974217522
PAN,2014,-0.013525582485840989
PAN,2015,-0.01520903220151842
PAN,2016,-0.014495266964192108
PAN,2017,-0.014476600698829714
PAN,2018,-0.014837077413625752
PAN,2019,-0.015066504672520577
PAN,2020,-0.015632702499505564
PAN,2021,-0.013945544370790706
PAN,2022,-0.013460176984561749
PAN,2023,-0.013182098566463879
PCN,1995,-0
PCN,1996,-0
PCN,2000,-0
PCN,2001,-0
PCN,2002,-0
PCN,2003,-0
PCN,2004,-0
PCN,2005,-0
PCN,2008,-0
PCN,2009,-0
PCN,2010,-0
PCN,2011,-0
PCN,2012,-0
PCN,2013,-0
PCN,2015,-0
PCN,2016,-0
PCN,2017,-0
PCN,2018,-0
PCN,2019,-0
PCN,2020,-0
PCN,2021,-0
PCN,2022,-0
PER,1995,0.04342264249788844
PER,1996,0.04131819693835435
PER,1997,0.041496609533691706
PER,1998,0.03583357034890785
PER,1999,0.035516286417074223
PER,2000,0.039358810136331024
PER,2001,0.03710683210274705
PER,2002,0.03786343905949115
PER,2003,0.04098054991124494
PER,2004,0.04952281613203088
PER,2005,0.05593008240112611
PER,2006,0.07082618095548852
PER,2007,0.07324409274666564
PER,2008,0.07269387012150241
PER,2009,0.06844682705403737
PER,2010,0.07861197224131175
PER,2011,0.08238850969842824
PER,2012,0.08003176856751403
PER,2013,0.07674409074855004
PER,2014,0.07402567077174009
PER,2015,0.0696213406723097
PER,2016,0.07020911795444636
PER,2017,0.07440718614009684
PER,2018,0.07397720003383994
PER,2019,0.07432250768877909
PER,2020,0.07682197230011405
PER,2021,0.08303276116391724
PER,2022,0.08024486143080936
PER,2023,0.08028872732149883
PHL,1995,0.015173369501145954
PHL,1996,0.01584442298116512
PHL,1997,0.014787921572512503
PHL,1998,0.01423908348411444
PHL,1999,0.014172678941348221
PHL,2000,0.012033361533675142
PHL,2001,0.009192446209798501
PHL,2002,0.0115393672001257
PHL,2003,0.012903226300978364
PHL,2004,0.017362238453827925
PHL,2005,0.01938894154553077
PHL,2006,0.022344503816133204
PHL,2007,0.026630123854581786
PHL,2008,0.029678272794595017
PHL,2009,0.02279841718838476
PHL,2010,0.029660741351743684
PHL,2011,0.03342927619885014
PHL,2012,0.02832605768560338
PHL,2013,0.026291347820466868
PHL,2014,0.02785899509113436
